freq,unit,mot_nrg,geo,time,value
A,NR,DIE_X_HYB,NL,2022,4638
A,NR,DIE_X_HYB,NL,2023,3966
A,NR,DIE_X_HYB,NL,2024,3765
A,NR,DIE_X_HYB,PL,2015,119613
A,NR,DIE_X_HYB,PL,2016,132663
A,NR,DIE_X_HYB,PL,2017,137213
A,NR,DIE_X_HYB,PL,2018,133738
A,NR,DIE_X_HYB,PL,2019,115838
A,NR,DIE_X_HYB,PL,2020,85610
A,NR,DIE_X_HYB,PL,2021,71053
A,NR,DIE_X_HYB,PL,2022,59875
A,NR,DIE_X_HYB,PL,2023,63610
A,NR,DIE_X_HYB,PL,2024,72510
A,NR,DIE_X_HYB,PT,2017,138712
A,NR,DIE_X_HYB,PT,2018,123326
A,NR,DIE_X_HYB,PT,2019,89376
A,NR,DIE_X_HYB,PT,2020,47564
A,NR,DIE_X_HYB,PT,2021,31766
A,NR,DIE_X_HYB,PT,2022,27881
A,NR,DIE_X_HYB,PT,2023,23900
A,NR,DIE_X_HYB,PT,2024,18261
A,NR,DIE_X_HYB,RO,2015,44861
A,NR,DIE_X_HYB,RO,2016,48591
A,NR,DIE_X_HYB,RO,2017,53979
A,NR,DIE_X_HYB,RO,2018,53239
A,NR,DIE_X_HYB,RO,2019,43365
A,NR,DIE_X_HYB,RO,2020,33826
A,NR,DIE_X_HYB,RO,2021,20393
A,NR,DIE_X_HYB,RO,2022,16413
A,NR,DIE_X_HYB,RO,2023,16322
A,NR,DIE_X_HYB,RO,2024,18435
